idnovel,tr_word1,tr_word2,tr_word3,tr_word4,tr_word5,ch_word1,ch_word2,ch_word3,ch_word4,ch_word5,st_word1,st_word2,st_word3,st_word4,st_word5,md_word1,md_word2,md_word3,md_word4,md_word5
11,한국 쉘터 ,김밥 조 ,성호 ,장원 택 ,안근 석 ,짜증나다,없다,멸망하다,올바르다,평온하다,유일하다,변하다,높다,갑작스럽다,자세하다,NULL,NULL,NULL,NULL,NULL
12,강 신혁 ,헌터 물 ,토 이카 ,히어로 유니버스 ,체육 대회 ,뻔하다,성장하다,신선하다,이쁘다,끊임없다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,그루 밤 ,주인공 ,잠재력 ,작품 ,플레이어 ,강하다,지루하다,성장하다,안되다,부탁드리다,강하다,같다,좋다,어떻다,재미있다,NULL,NULL,NULL,NULL,NULL
15,반려 동물 ,체이스 교수 ,관련 영상 ,장 스티치 ,동물병원 ,없다,싫어하다,어렵다,경미하다,특별하다,아쉽다,들뜨다,유명하다,멋지다,괜찮다,NULL,NULL,NULL,NULL,NULL
16,정밀 기계 ,이창진 은 ,사업 실패 ,회사 ,재벌 스토리 ,있다,성공하다,어렵다,뻔하다,똑똑하다,성공하다,뻔하다,인하다,필요하다,젊다,NULL,NULL,NULL,NULL,NULL
17,케일 ,힘 ,마 탑 ,용 혼혈 ,에르 하 ,별다르다,유능하다,불과하다,안락하다,멸망하다,특출나다,안타깝다,그만하다,조용하다,답답하다,멀쩡하다,더럽다,평탄하다,완전하다,높다
18,급 헌터 ,먼치킨 웹툰 ,주인공 성진우 ,주인공 ,던전 ,풋풋하다,강하다,선하다,급격하다,무능력하다,특출나다,환생하다,탄탄하다,지루하다,뻔하다,답답하다,유머러스하다,심하다,행복하다,쓸데없다
19,무협 ,남궁 소 ,마 회귀 ,검 감 ,도화 곡 ,원하다,충분하다,간단하다,용감하다,침착하다,신비하다,용감하다,무능하다,간단하다,별다르다,담백하다,빠르다,확실하다,더하다,진중하다
20,아카데미 물 ,파쿠 리 ,메인 스토리 ,주인공 ,히로인 이랑 ,아니다,많다,그렇다,열광하다,아쉽다,많다,열광하다,있다,그렇다,아쉽다,NULL,NULL,NULL,NULL,NULL
21,망나니 왕자 ,마나 하트 ,그루 혼 ,문 피아 ,주인공 ,유쾌하다,얼떨떨하다,상당하다,복되다,끊임없다,얼떨떨하다,드물다,상당하다,미치다,끊임없다,치밀하다,딱딱하다,담백하다,완벽하다,행복하다
22,재벌 스토리 ,주인공 ,그룹 ,산업 ,시절 ,어렵다,힘들다,아무렇다,너무하다,똑같다,재미있다,인하다,힘들다,달콤하다,성하다,NULL,NULL,NULL,NULL,NULL
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,뽕 맛 ,주인공 세력 ,주인공 ,회귀 헌터 ,능력 ,그렇다,비싸다,참신하다,좋다,새롭다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,퓨전 판타지 ,주인공 ,작품 ,갯장어 장르 ,현대 파트 ,성장하다,새롭다,답답하다,대단하다,흥미롭다,어떻다,같다,미안하다,단순하다,없다,미치다,특정하다,만족스럽다,단순하다,미안하다
26,재벌 물 ,주인공 ,주인공 치킨 ,주변 인물 ,캐릭터 등장 ,있다,뛰어나다,독특하다,어떻다,같다,그렇다,없다,조용하다,아니다,어렵다,조용하다,까다롭다,없다,아니다,유치하다
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,유일신 ,주인공 ,작품 ,갓 메이커 ,성 미리 ,안되다,조용하다,그렇다,바쁘다,아쉽다,없다,아쉽다,바쁘다,공정하다,비슷하다,좋아하다,필요하다,드물다,진정하다,낮다
29,천 회귀 ,회차 목표 ,주인공 ,대륙 지배자 ,보스 등장 ,같다,암울하다,갑작스럽다,그렇다,유쾌하다,NULL,NULL,NULL,NULL,NULL,같다,갑작스럽다,암울하다,유쾌하다,그렇다
30,아이템 설명 ,먼치킨 성좌 ,초반 부 ,주인공 ,인공지능 ,있다,그렇다,성공하다,중요하다,얄팍하다,지독하다,얄팍하다,안되다,성장하다,엄청나다,NULL,NULL,NULL,NULL,NULL
31,연애 내용 ,순간 ,주인공 ,집 ,강화 ,없다,딱하다,같다,가능하다,엄청나다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,멀린 ,마법 ,마나 하트 ,포스 베스 ,자신 ,부담스럽다,중요하다,정확하다,편하다,없다,NULL,NULL,NULL,NULL,NULL,의하다,충분하다,위대하다,엄청나다,아깝다
34,단우 현은 ,록 아 ,마 존 ,넘 강 ,무극 신마 ,좋다,인하다,무심하다,밉다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,아기 물 ,우 ,윤 ,다 아기 ,천재 배우 ,수많다,필요하다,희다,고만하다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,김 수운 ,행운 ,회사 ,회귀 물 ,출근 첫날 ,편하다,좋다,불행하다,흥미롭다,깔끔하다,깊다,아니다,괜찮다,재밌다,있다,기이하다,깔끔하다,심하다,흥미롭다,편하다
37,회귀 판타지 ,로드 그란데 ,다음 왕자 ,주인공 ,에선 주인공 ,가볍다,그렇다,같다,가능하다,무능하다,가볍다,그렇다,이렇다,흥미롭다,당연하다,NULL,NULL,NULL,NULL,NULL
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,사 파 ,주인공 ,무림 인 ,시스템 ,화전민 마을 ,다양하다,없다,빠르다,아니다,원하다,슬프다,특별하다,힘드다,연하다,좋다,안되다,아쉽다,참신하다,상당하다,재밌다
40,북 마교 ,무사 하차 ,선 작 ,신 ,리강 ,재미없다,흔하다,이렇다,어색하다,재밌다,깊숙하다,없다,강하다,비슷하다,같다,딱이다,재밌다,딱하다,무겁다,변하다
41,베 릭 ,레이 폴 ,로드 벨트 ,닐 족 ,레 딘 ,밉다,빠르다,빨르다,붉다,재밌다,NULL,NULL,NULL,NULL,NULL,무겁다,가볍다,자세하다,쏠쏠하다,힘드다
42,리어 한 ,게임 ,주인공 ,성민 ,달 토끼 ,성공하다,멸망하다,변하다,난하다,괜찮다,없다,어떻다,확실하다,있다,난하다,놀래다,상쾌하다,답답하다,어이없다,급격하다
43,물 ,사람 ,주인공 ,작가 ,보좌관 ,가볍다,재밌다,같다,좋다,많다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,김 재주 ,탑 ,인방 물 ,포 포 ,주인공 ,젊다,뚜렷하다,있다,아깝다,재미있다,괜찮다,좋아하다,재밌다,소소하다,적응하다,싫어하다,솔직하다,필요없다,익숙하다,높다
45,NULL,NULL,NULL,NULL,NULL,아니다,아쉽다,재미있다,같다,좋다,있다,재미있다,아니다,안녕하다,당하다,NULL,NULL,NULL,NULL,NULL
46,주인공 ,형사 물 ,재벌 아들 ,현대 판타지 ,게임 방송 ,거대하다,다양하다,빠르다,힘들다,부옇다,간략하다,유연하다,재미있다,신나다,부옇다,NULL,NULL,NULL,NULL,NULL
47,양 세가 ,주인공 ,활 심 ,영 마가 ,마지막 비인 ,있다,그렇다,필요하다,성공하다,오만하다,재미있다,그렇다,오만하다,얄밉다,변하다,NULL,NULL,NULL,NULL,NULL
48,작품 작가 ,금 수저 ,아기 때 ,주인공 ,회귀 ,있다,인하다,싫다,아니다,좋다,궁금하다,가능하다,환생하다,없다,이렇다,NULL,NULL,NULL,NULL,NULL
49,마지막 결전 ,주인공 ,힘 ,반지 ,아버지 ,아니다,없다,새롭다,재미있다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
