title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
루인 월드,아스라이,퓨전판타지,주은,19세 이용가,185,2020.03.08.,미완결,//img.ridicdn.net/cover/3821004359/xxlarge,"큰 목적 없이 하루하루를 보내던 청년 신세린은 
수상한 메시지를 받아 게임 속으로 들어가게 된다. 
그렇게 들어가게 된 게임은 좀비나 괴물을 쳐죽여야만 하는 
서바이벌 호러 게임!! 
원하던 게임 속으로 들어오긴 했지만 생각지 못한 문제가 발생! 
더 이상 현실 세상으로는 돌아갈 수가 없게 되어버렸다.
원래 세상으로 되돌아가기 위해, 
자신을 함정에 빠뜨린 놈을 쳐죽이기 위해. 
그리고……이번에야말로 자신만의 삶을 살아가기 위해서. 
세린은 무슨 수를 써서라도 살아남기로 결심하는데……!!",https://ridibooks.com/books/3821004179
인외용사기담,콜라지갑,퓨전판타지,주은,19세 이용가,200,2019.06.24.,완결,//img.ridicdn.net/cover/3821001263/xxlarge,"킬킬 웃는 한창식은 여상한 표정으로 자신과 함께 해온 파티원들을 바라보았다. 

인간이라고는 하나 없는 그들의 모습을 보며 그래도 역시나, 나중에 누군가가 이 시대, 

이 이야기를 묻는다면 떠올릴 이름 하나 쯤은 괜찮지 않을까 하는 생각이 들기는 했다.

""그래, 만약 그렇다 해도 이 때 내가 써온 이야기에 이름을 붙이자면...

 역시 이렇게 부르겠지?""

아무래도 가장 좋은 것은 그것이었다.

""인외용사기담人外勇士奇談.""",https://ridibooks.com/books/3821001263
야왕 성귀남,burn7,현대판타지,JHS BOOKS,19세 이용가,312,2020.04.27.,완결,//img.ridicdn.net/cover/3586006404/xxlarge,"내 앞에 관음증 귀신이 나타났다!
녀석이 내게 준 능력은 여성과 섹스를 하기 위해 필요한 정보가 담긴 공략 창.
귀신 녀석은 그 능력을 이용해 보다 많은 여성과 섹스를 하라고 부추긴다.
'나야 뭐 땡큐지.'

성욕으로 똘똘 뭉친 남자 성귀남과 귀신 감성대의 주야장천 여자 정복기!",https://ridibooks.com/books/3586006404
죽었다 깨어나보니 섹스머신,차우모완,퓨전판타지,엔블록,19세 이용가,61,2019.11.19.,미완결,//img.ridicdn.net/cover/323003641/xxlarge,"‘이승에서 지질이도 운이 없는 인간들을 미래에서만큼은 무척이나 지고한 행복에 이르게 해주는 것’

주역과 슈퍼 양자컴퓨터를 이용해 다시 태어나기 가장 좋은 때를 추천해 주는 미래 운명 컨설팅 서비스 회사.   

현승에서 지질이도 불운한 태빈은 미래에 좋은 운으로 다시 태어나, 팔자를 고쳐 행복한 삶을 살기로 결정한다.
나노유투스템셀사의 세포활성 영면 미래 깨어남 서비스에 가진 재산과 몸을 모두 신탁한 태빈.
하지만 미래 환경 변수로 인해 태빈은 섹스머신으로 잘못 태어나고 만다...


|본문

“어차피 다시 깨어나서 이승보다 행복하지 못하면 환불해 줄 것도 아니잖아요. 말은 쉽죠.”

“그건 겪어보고 판단해도 늦지 않아요. 정말 자네가 우리가 추천한 제2의 생에서 깨어나서도 불행하다고 여긴다면 자네에게만큼은 환불해 주겠네!”

숀은 자존심이 몹시 상하다는 양 단호히 대답했다(중략...) 숀은 말하고 나서 아까 창가 여자에게 소리쳤다.

“존슨 양, 이 고객에겐 세포영면상태만기 후 불행자각 인지 시 미래가치 환산 환불 특약을 걸어주게.”",https://ridibooks.com/books/323003449
아르카나 마법도서관 703화,커틀피쉬,퓨전판타지,KOCM,19세 이용가,1,2020.03.20.,완결,//img.ridicdn.net/cover/2391021304/xxlarge,"대학원생 이하림은 눈을 뜨자마자 월릿 공국이라는 낯선 나라에 와있다는 것을 알고 당황한다. 그는 문명이 발달하지 않은 이세계에서 졸지에 루시안이라는 빈민 고아의 몸에 빙의되어 살아갈 처지에 놓인다. 믿을 거라고는, 보는 책을 전부 머릿속에 저장할 수 있는 기묘한 능력을 얻었다는 것뿐!

마녀사냥과 마법사 사냥이 빈번한 신분제 사회 월릿 공국.
그 속에서 문맹으로 살아가야 하는 기구한 운명에 놓인 하림.

‘좋아. 이 세상에 있다는 마법을 배워 지구로 돌아가겠어!’

하지만, 마법을 배우려면 돈을 벌어야 한다. 하림은 머릿속에 있는 지구의 클래식 음악들을 표절해 음악가로 명성을 쌓게 되는데….

과연, 하림은 대마법사가 되어서 지구로 돌아갈 수 있을까?",https://ridibooks.com/books/2391021304
살인기계,성상영,현대판타지,고렘팩토리,19세 이용가,178,2019.01.18.,완결,//img.ridicdn.net/cover/2107039015/xxlarge,"북파공작원이었던 주인공은 북한이 비밀리에 개발하던 무기 공장의 폭발에 휘말리게 된다. 
깨어나 보니 과거의 중국. 
그는 자신만의 정의를 가지고 중국에서 살아가기 시작하는데….",https://ridibooks.com/books/2107039015
야도[野刀],계현,무협소설,티브이펀㈜,19세 이용가,51,2016.06.08.,완결,//img.ridicdn.net/cover/2067000767/xxlarge,이 대하소설은 풍운이 휘몰아치던 17세기의 북방대륙을 종횡하고 주유하던 전설적인 칼잡이 사내와 신비로운 여검객의 야망과 파란과 사랑을 원색적인 강렬한 터치로 그려본 시대활극이다.,https://ridibooks.com/books/2067000767
대협: 개천에서 용 나다,녹수엽,무협소설,티브이펀㈜,19세 이용가,199,2016.01.04.,완결,//img.ridicdn.net/cover/2067000093/xxlarge,"사생아로 태어나 거지로 살아 온 밑바닥 인생. 
가진 거라고는 달랑 불알 두 쪽밖에 없는 밑바닥 인생의 대협 되기.",https://ridibooks.com/books/2067000093
비불전사,탁주명,무협소설,티브이펀㈜,19세 이용가,70,2015.12.22.,완결,//img.ridicdn.net/cover/2067000037/xxlarge,"좌도(左道) 전사들은 요니 속에서 무공의 근본을 찾았다. 

그대의 꽃잎 속으로
내 근본을 밀어 넣고 
우주를 본다.

그들은 쾌락 속에서 타락했고,
타락은 정도의 무인들을 노예로 전락시켰다.

그들을 거부하는 자.
자신의 피를 뿌리는 자해에 희열을 느끼면서 스스로 자신의 배를 갈랐다.  

그들을 비난하는 자.
찰나의 쾌락과 함께 영원의 죽음에 이르렀다

여기 진언을 수행하는 정도의 전사가 그들을 처단하러 왔다.
그들의 근본은 썩은 무처럼 변했고, 
그들의 링가는 가차 없이 잘려 나갔다.   

사람들은 그를 야차라고 했다.   
혹은 그를 금강전사라고도 했다.

그는 진언을 깨달은 비불전사였다.",https://ridibooks.com/books/2067000037
나에게만 세상이 미연시,레테라투,현대판타지,KW북스,19세 이용가,163,2020.04.17.,미완결,//img.ridicdn.net/cover/2057115187/xxlarge,"45살 공시생인 나에게 아버지가 말했다.


""아들아, 너에게 마법의 램프를 물려주마.""

""네?""


세 가지 소원을 빌 수 있는 신비한 가보!

과거로 회귀한 나는 세상을 미연시로 만들기로 결심했다.",https://ridibooks.com/books/2057109488
카사노바 플레이어,신사J,퓨전판타지,KW북스,19세 이용가,175,2019.10.28.,완결,//img.ridicdn.net/cover/2057091297/xxlarge,"다른 플레이어들을 굴복시키고 살아남아라!
플레이어들의 서바이벌에 참가하게 된 이태성.
그런데 직업이 카사노바?
이렇게 된 이상 살아남을 방법은 단 하나!
여자를 꼬셔라!",https://ridibooks.com/books/2057091297
