,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
20,산업혁명 조선,사관,역사,미제공,미제공,192,20/06/02,미완결,http://cf.joara.com/literature_file/20200601_1641091016.jpg_thumb.png,"
""역덕이냐?""

수능에서도 삼사를 선택해서 올 1등급이었고.

역사라면 한 덕질을 했다고 자부할 수 있는 내가. 

조선시대 정통성 깡패 숙종으로 환생했다.

제국주의가 판치는 시대, 조선이라고 못 할 건 뭐냐!

철인 군주 숙종이 만들어가는 조선의 산업혁명!",http://www.joara.com/premium_new/book_intro.html?book_code=1458416
21,아빠가 절대 갑(甲) 재벌!,창조소설러,판타지,미제공,미제공,86,20/06/08,미완결,http://cf.joara.com/literature_file/20200605_1123078937.jpg_thumb.png,"
아내에게 배신을 당하고 직장마저 잃은 채.
두 아이의 아버지로서 힘든 삶을 살아가던 동방삭.
어느 날, 꿈속에 조상님이 나타났다.

[이것을 받거라.]

그것은 단환 하나와 <동방비록>이라는 이름의 고서 한 권.
별 볼 일 없을 거라 생각했던 두 가지 물건이었지만,
동방삭의 미래는 그날부로 완전히 달라졌다.",http://www.joara.com/premium_new/book_intro.html?book_code=1459329
22,나 혼자 프리서버,날망,판타지,미제공,미제공,213,20/06/25,미완결,http://cf.joara.com/literature_file/20200611_1718596494.jpg_thumb.png,"
헌터들이 귀족으로 급부상한 뒤틀린 세계

몬스터 폐기물을 처리하며 살아가던 하이에나 나경철,
프리서버 시스템으로 각성하다!

[독재자 서버 배율은 경험치 100배, 젠 30배, 아이템 10배입니다]

빠른 사냥
빠른 레벱업
빠른 파밍

이것이 진정한 귀족이다.",http://www.joara.com/premium_new/book_intro.html?book_code=1460872
23,풋볼 에디터,타와,스포츠,미제공,미제공,71,20/06/17,미완결,http://cf.joara.com/literature_file/20200617_1131567302.jpg_thumb.png,"
미국에서 심리학을 공부한 민호는 축구광이다.
갑작스레 유학에서 돌아온 민호는 오랫동안 백수로 지내다 악마의 축구 게임을 접하게 돼 게임 세상에 빠진다.
한편,민호의 아버지는 대학 축구팀의 감독으로 일하던 중 축구부 폐지 위기를 맞게 된다.
위기에 빠진 아버지의 축구부를 구하기 위해 민호는 축구부 코치로 일하게 되는데…",http://www.joara.com/premium_new/book_intro.html?book_code=1462371
24,흑룡쟁투,박선우,무협,미제공,미제공,69,20/06/18,미완결,http://cf.joara.com/literature_file/20200617_1751239781.jpg_thumb.png,"
천하제일미녀를 얻기 위한 천무쟁화전.

은거기인 흑룡 적무한의 기행이 강호를 폭풍속으로 빠져들게 만든다.",http://www.joara.com/premium_new/book_intro.html?book_code=1462450
25,전생검신(轉生劍神),kaizia88,무협,미제공,미제공,1270,16/01/16,미완결,http://cf.joara.com/literature_file/20181228_144003.jpg_thumb.png,"
재능없는 놈은 죽으란 말이냐? 그럼 죽겠다. 죽고 나서 또 다시 도전해 주겠다. 세상을 죽여버릴 때까지!",http://www.joara.com/premium_new/book_intro.html?book_code=1068648
26,재능 최강 프로게이머,크라운,게임,미제공,미제공,185,20/05/30,미완결,http://cf.joara.com/literature_file/20200529_1119409968.png_thumb.png,"
방송 울렁증 때문에 가진 재능을 보이지 못한 채 은퇴의 기로에 서게 된 최명근.
그에게 다시 한 번 기회가 주어지는데...",http://www.joara.com/premium_new/book_intro.html?book_code=1457611
27,괴공유록,악산,무협,미제공,미제공,278,20/07/05,미완결,http://cf.joara.com/literature_file/20200624_2033302541.jpg_thumb.png,"
한 시대를 풍미한 절대 검객의 제자. 
삼십 년 전, 자신에게 목숨 빚진 자들을 찾아 힘없이 주저앉은 문파의 현실을 따져 묻기 시작한다. 
괴이하고 악랄하며 편벽됨의 상징 자운현. 검문을 재건하려는 이 괴공의 행보에 지난날 숨죽였던 무림이 다시 눈뜬다.",http://www.joara.com/premium_new/book_intro.html?book_code=1464371
28,뮤리,orMyo,판타지,미제공,미제공,613,19/03/21,미완결,http://cf.joara.com/literature_file/20190321_144516.jpg_thumb.png,"
[리메이크,이세계판타지, SF, 스탯없음, 만담, 문명발전, 경제, 정치음모, 아저씨주인공, 따님만세, 따님만세, 주석잔뜩, 짧고넓은지식, 중세 판타지에 떨어진 현대인 아저씨 성장일기]

'고도로 발전한 과학은 마법과 다를 것 없다. -아서 C. 클라크'

펜과 지팡이는 생각보다 닮았다. 기술을 추구하면 마법이 된다.
자칭 사기꾼 아저씨의 난장판 생존 깽판기록.
이세계 트립물을 가장한 위키(wiki) 판타지.

ps. 주석은 굳이 읽지 않아도 됩니다.

",http://www.joara.com/premium_new/book_intro.html?book_code=1358298
29,이것이 법이다,자카예프,판타지,미제공,미제공,3022,15/09/07,미완결,http://cf.joara.com/literature_file/20170508_084614.jpg_thumb.png,"
통쾌함의 끝은 과연 어디인지.
함께 여행을 떠나볼까요?

이 세상에 넘쳐나는 나쁜 놈들을 향한 통렬한 한 판!",http://www.joara.com/premium_new/book_intro.html?book_code=1032131
30,검사 김서진,이해날,판타지,미제공,미제공,173,20/04/28,미완결,http://cf.joara.com/literature_file/20200428_0945542076.jpg_thumb.png,"
눈을 뜨니 다른 사람이 되었다.",http://www.joara.com/premium_new/book_intro.html?book_code=1449057
31,환생자의 재벌테크,필로스,판타지,미제공,미제공,323,20/05/11,미완결,http://cf.joara.com/literature_file/20200508_1240081435.jpg_thumb.png,"
대필 작가 최영재, 로열 그룹 사람들한테 죽임을 당한 후 그 집 핏줄로 태어났다.

""어라? 그런데 여기는 로열가(家)가 아닌데?""

로열 그룹 회장의 핏줄이지만, 아버지는 또 다른 사람이라고?
이거 어떻게 된 막장이지?",http://www.joara.com/premium_new/book_intro.html?book_code=1451967
32,나 혼자 검술상점,NZ,판타지,미제공,미제공,240,20/05/12,미완결,http://cf.joara.com/literature_file/20200512_1008542186.jpg_thumb.png,"
칼로 모든 걸 해결하는 시대가 왔다.

그리고 나한테도 칼이 왔다.",http://www.joara.com/premium_new/book_intro.html?book_code=1453104
33,제가 게임 속 악신이라고 하네요,김트리,판타지,미제공,미제공,189,20/02/19,미완결,http://cf.joara.com/literature_file/20200217_172439.jpg_thumb.png,"
“콜록,콜록.”
가상 현실을 벗어나면, 마주하는 현실.
희망이란 이정표를 잃어버린 시한부 소녀는 담담하게 손과 입에 묻은 피를 닦아냈다.
새는 노래하지 않는다.
신은 응답하지 않는다.
죽음의 공포조차 느껴지지 않는다.
남은 건 이별을 준비하는 것뿐이라고 생각했었다. 
그날이 오기 전까진….

담담하게 죽음을 기다리는 그레이스.
그런 그녀에게 어느 날 찾아온 기적의 게임 ‘Epic Tales’.",http://www.joara.com/premium_new/book_intro.html?book_code=1428481
34,하급 표사 용병왕 되다,금전표,판타지,미제공,미제공,149,20/06/25,미완결,http://cf.joara.com/literature_file/20200624_1619156732.jpg_thumb.png,"
-하급 표사로 사느니 이세계의 왕으로 살겠어!!

하급 표사인 노일수는 표행 중 낭떠러지에서 굴러 떨어지게 된다.
그가 의식을 차린 세계는 엉뚱하게도 마법이 가능한 이세계.

이후, 노일수는 먹고살기 위해 용병들과 함께 표국을 차린다.
이 표국은 하루가 다르게 엄청난 기세로 성장하게 되고,
그때 그의 앞에 무협세계의 마교와 같은 존재인
‘다크소울교’의 교주가 한 가지 제안을 하는데...
이 제안, 너무 마음에 안 든다.

“싫어! 절대 니 뜻대로 안 해!! 난 내 멋대로 살래!!!”",http://www.joara.com/premium_new/book_intro.html?book_code=1464318
35,열왕기(列王記),무대선,역사,미제공,미제공,726,13/04/19,미완결,http://cf.joara.com/literature_file/20130419_124343.png_thumb.png,"
  글은 임진왜란이 끝난 직후를 시작으로 원래 역사보다 선조 임금이 8년정도 일찍 세상을 뜨면서 시작하는 대체 역사 소설입니다. 
  감사합니다. ",http://www.joara.com/premium_new/book_intro.html?book_code=761814
36,회귀했더니 입대 전날,작가에바트리체,판타지,미제공,미제공,529,19/07/31,미완결,http://cf.joara.com/literature_file/20190731_093909.jpg_thumb.png,"
어렵게 잡은 회귀의 기회.
그런데 입대 전날로 회귀해버렸다.

",http://www.joara.com/premium_new/book_intro.html?book_code=1385782
37,사파강호,돌봉이,무협,미제공,미제공,179,20/05/18,미완결,http://cf.joara.com/literature_file/20200518_0851533577.jpg_thumb.png,"
고아로 자라 정파의 책사로 살았다.
자신의 계책으로 경쟁 사파를 멸문시켰다.
그런데 어느 순간 멸문시킨 사파가 자신의 집임을 알게 됐다.",http://www.joara.com/premium_new/book_intro.html?book_code=1454636
38,결말 이후를 사는 천재,바라,판타지,미제공,미제공,96,20/06/16,미완결,http://cf.joara.com/literature_file/20200529_1400452498.png_thumb.png,"
‘법과 제도는 언제나 사후처리밖에는 되지 못한다.’

법과 제도가 가지는 보호의 소극성을 타파하고자 초월적인 힘을 지닌 주인공, 로아가 검을 뽑아 든다.",http://www.joara.com/premium_new/book_intro.html?book_code=1457624
