title,genre,author,complete,img_src,age,total,pub_date,publisher,intro,href
불사의 포식자,"판타지,  현대판타지",허풍선,완결,//cdn1.munpia.com/files/attach/2019/0416/003/TaUQmk5c5k95DahR.jpg,전체이용가,360 회,2019.04.19 10:00,정보 없음,"이능력을 둘러싼 음모에 가족까지 잃은 강진우
모든것을 잃고 버림받은 최강의 군인.
불사의 포식자로 부활하다!

혼돈에 빠진 세계
강진우, 유일한 구원이 되다!",https://novel.munpia.com/153937
마계 이야기,"판타지,  퓨전",수백설,완결,//cdn1.munpia.com/files/attach/2016/0314/001/9R9R3Ai26KcbBxeG.jpg,전체이용가,403 회,2016.03.14 18:06,정보 없음,"친구의 투신자살 막으려다 실수로 제가 떨어진 것까진 기억이 나는데, 
눈을 떠보니 웬 장발의 미남이 이상한 말을 한다?!

“여긴 마계다.”


몇 분 전까지 지극히 평범했던 남고생 유신, 마계에 떨어지다!
.
.
.
갑작스럽게 시작된 마계에서의 생활.
삼천 년 전 살았던 고위마족 〈란티스 아란가르츠〉의 이름으로 살게 된 유신.
전혀 다른 언어와 환경에서 기약도 없이 살아야 하는 비운의 주인공이 되었을 뿐더러 
시시각각 벌어진는 사건과 사고 속에서도 꿋꿋하게 버텨나간다. 
마계의 유일한 인간으로 4대 공작은 물론, 마왕, 마신까지 든든한 빽을 얻게 된 것도 잠시,
자신의 몸에 천계와 마계를 어우르는 비밀이 숨어있다는 것을 알게되는데…….

마계와 천계, 인간계까지 차원을 넘나드는 모험의 주인공이 된 란티스.
그의 좌충우돌 마계 성장기가 시작되었다!",https://novel.munpia.com/54432
전생무신,"무협,  판타지","
조성완

",완결,//cdn1.munpia.com/files/attach/2019/0201/003/98SmbDBMgGYEpvES.jpg,전체이용가,121 회,2019.01.11 18:00,정보 없음,"회귀에 대한 이유를 알고자 천하에 나선 백경.
한번의 삶은 너무나 비참했고, 두번의 삶은 그를 만족시켰다.
허나 또 다시 이유도 모른 채, 회귀하게 되자 그 이유를 알고자 스스로 천하에 나서게 되었다.

무신. 백경.

그의 일대기가 지금 시작된다.",https://novel.munpia.com/132197
패월진천,"무협,  퓨전","
은열

",완결,//cdn1.munpia.com/files/attach/2018/0814/000/BPjYmpwLixtEO9Bi.jpg,전체이용가,250 회,2018.08.16 11:00,정보 없음,"천하제일 신투, 그리고 무림 공적이었던 사내.
그에게 유일하게 실패를 안긴, 정사를 피로 물들인 마천의 비고에서
평생을 갈망했던 무공의 부재로 단 육 장을 눈앞에 둔 채 죽음을 맞이한다.

그렇게 마지막 의식의 끈이 끊어지려던 그때,
번쩍 하며 엄청난 빛이 쏟아져 나오고!

“영락 삼 년? 사십 년…… 전……이라고?”

다시금 눈을 떴을 때 그는
사십 년 전 과거의 시간 속, 열두 살 어린 소년이 되어 있었다!


새로운 생, 새로운 몸! 이것이 바로 기연이다!
진가의 대공자 진소청, 패월(覇月)이 되어 천하를 울리리라!",https://novel.munpia.com/120395
3루의 귀신,"스포츠,  판타지","
로웰크란

",완결,//cdn1.munpia.com/files/attach/2019/0222/000/qjhrtc6F9PdjJ1ay.jpg,전체이용가,176 회,2019.02.20 17:00,정보 없음,"-빨간색이다, 꼬맹이. 조심하는 게 좋을 거야.
'오케이.'

꿈의 무대 메이저리그를 향한 도전이 시작된다.",https://novel.munpia.com/137289
마교 이인자에서 역대급 헌...,"퓨전,  현대판타지","
주옥(珠玉)

",완결,//cdn1.munpia.com/tpl/novel/core/covers/fusion.jpg,전체이용가,87 회,2018.05.15 18:00,정보 없음,"더이상 일인지하만인지상으로 살지 않겠다.

내가 바로 천하제일인이다.",https://novel.munpia.com/112661
선풍기협과 강호여인들,무협,"
은경규

",완결,//cdn1.munpia.com/files/attach/2019/0219/004/cUn85TgdKQi5SMZ9.jpg,전체이용가,92 회,2019.02.13 09:00,정보 없음,"현천은 농부였다. 우연한 기회에 기연을 얻고, 덤으로 사랑까지 얻는다.
그러나 강호는 절대 만만한 곳이 아니었다.
특히나, 강호의 여인들은 만나기만 하면 현천의 혼을 쏙 뻬놓는다.
험난한 강호에서 사랑을 찾아 떠나는 현천의 이야기.",https://novel.munpia.com/139347
세계 최고 축구스타,"스포츠,  현대판타지","
선들

",완결,//cdn1.munpia.com/files/attach/2019/0225/004/3fpGD2VSzcJglcmd.jpg,전체이용가,85 회,2019.02.26 18:00,정보 없음,"성준은 세계 최고의 축구선수가 되기 위해 세계적인 명문구단에서 엘리트 코스를 밟는다.
 그러나 갑자기 대형사고를 당하고 축구 스타가 되는 꿈을 한순간에 날려버린다.

 그런데 절망하던 그에게, 갑자기 미래가 보이기 시작한다.",https://novel.munpia.com/138744
초 F급 이레귤러,"현대판타지,  퓨전","
Abyss사서

",완결,//cdn1.munpia.com/files/attach/2018/1019/000/mSYMSU9C5sI4RjFb.jpg,전체이용가,91 회,2018.10.29 12:00,정보 없음,"상태창?
스킬?
다 필요 없어!",https://novel.munpia.com/126414
나 혼자 역대급 수련,"현대판타지,  퓨전","
흑전

",완결,//cdn1.munpia.com/files/attach/2018/1228/003/dZKYv3jS8KU98B7p.png,전체이용가,179 회,2018.11.23 10:00,정보 없음,"평범한 재능에 불과했던 헌터 오유성.

어느날 잠든 그의 눈 앞에 뜬 한 줄의 글귀.

[투기장의 세계에 오신 것을 환영합니다.]

이기면 이길 수록 강해지는 투기장.

고블린? 오크?

어째 상대라고 나오는 놈들이 많이 익숙하다.

[헌터물] [사이다 지향] [나 혼자]",https://novel.munpia.com/128396
맛깔나게 만들어드려요!,"현대판타지,  판타지","
얕은

",완결,//cdn1.munpia.com/files/attach/2018/0717/000/ItCUrX84bbpLElHp.jpg,전체이용가,173 회,2018.07.09 10:00,정보 없음,"내게 능력이 생겼다.
'감각 극대화'
맛깔나게 만들어드려요!",https://novel.munpia.com/117667
